컴퓨터학과 20171061 뽀로로 01071610729 99 87 88 45
컴퓨터학과 20171069 피카츄 01047471953 96 58 45 66
컴퓨터학과 20171056 피라냐 01055039619 86 57 67 44
컴퓨터학과 20171034 라이언 01000001111 65 76 45 71
컴퓨터학과 20171037 코코넛 01011112222 34 95 64 88
컴퓨터학과 20171079 방앗간 01022223333 57 56 87 84
IT미디어공학과 20171003 도자기 01089024285 27 84 46 73
컴퓨터학과 20181033 그리스 01020606725 99 86 56 78
컴퓨터학과 20181053 미나리 01033334444 31 55 73 29
컴퓨터학과 20181056 토토로 01044445555 62 25 86 70
컴퓨터학과 20181037 버거킹 01055556666 89 93 85 69
컴퓨터학과 20181044 하기스 01066667777 84 98 66 57
컴퓨터학과 20181032 히피스 01077778888 75 55 64 47
컴퓨터학과 20181045 잠만보 01088889999 83 90 78 84
바이오공학과 20161077 기러기 01028137845 29 57 66 63
바이오공학과 20161094 베토벤 01077408540 28 55 68 94
바이오공학과 20170098 양배추 01073771172 36 54 67 79
컴퓨터학과 20171055 대나무 01011223344 85 57 39 76
컴퓨터학과 20151061 조랑말 01033445566 96 75 45 52
컴퓨터학과 20171038 얼룩말 01055667788 93 56 95 69
바이오공학과 20160034 콩나물 01088997788 28 46 86 38
IT미디어공학과 20181099 개나리 01011552288 94 42 57 86
IT미디어공학과 20171098 소방차 01012345678 85 63 73 95
바이오공학과 20160988 바나나 01022344355 87 99 96 67
컴퓨터학과 20160979 라이츄 01023455432 96 87 69 77
IT미디어공학과 20181001 파이리 01044556633 54 67 56 68
컴퓨터학과 20181027 꼬북이 01077338844 65 56 77 82
IT미디어공학과 20171097 야도란 01099992345 53 76 89 56
IT미디어공학과 20171011 텀블러 01089898989 67 85 88 45
IT미디어공학과 20170911 이어폰 01098778988 99 56 75 78
컴퓨터학과 20171101 마우스 01039483746 99 89 88 70
바이오공학과 20182001 키보드 01082647932 87 99 67 96
컴퓨터학과 20182000 노트북 01042794736 76 78 96 59
IT미디어공학과 20181000 충전기 01028463827 67 78 98 97
바이오공학과 20181102 콘센트 01028374748 97 98 76 88
바이오공학과 20170001 머그컵 01023840193 88 78 69 44
IT미디어공학과 20181002 신발장 01020000394 57 87 97 55
IT미디어공학과 20161002 머리띠 01034949399 67 89 78 98
컴퓨터학과 20150011 소화기 01099922210 89 76 76 78
컴퓨터학과 20150014 에비츄 01092830480 97 57 67 80
IT미디어공학과 20171099 요거트 01000009248 77 88 99 60
IT미디어공학과 20161099 도어락 01028379030 88 98 77 95
IT미디어공학과 20181099 몰랑이 01073464830 97 69 99 80
컴퓨터학과 20151099 육성재 01028390485 89 78 76 89
IT미디어공학과 20141003 이창섭 01038747931 89 65 89 76
바이오공학과 20161123 정일훈 01011182793 86 67 66 65
바이오공학과 20171112 프니엘 01083764790 76 78 90 47
컴퓨터학과 20181009 서은광 01073478394 55 86 77 88
컴퓨터학과 20180021 이민혁 01029389292 92 33 65 66
IT미디어공학과 20171117 임현식 01090090090 66 34 67 86
컴퓨터학과 20151005 강동원 01000020002 65 54 56 78
IT미디어공학과 20181029 소지섭 01000010002 88 55 64 55
바이오공학과 20181111 오돌뼈 01000220011 67 57 86 86
IT미디어공학과 20171111 박신혜 01000000202 53 56 55 66
컴퓨터학과 20161111 송혜교 01022889390 57 57 68 79
IT미디어공학과 20151111 장나라 01099898989 78 63 76 56
컴퓨터학과 20141111 박보검 01000299390 56 76 55 67
IT미디어공학과 20180111 박나래 01011120039 67 88 97 88
IT미디어공학과 20170111 한혜진 01099097389 78 56 55 43
바이오공학과 20160111 정해인 01099374654 76 65 84 64
IT미디어공학과 20150111 안재현 01004957577 75 64 66 77
바이오공학과 20171239 강호동 01022221032 55 26 54 76
바이오공학과 20180098 김우빈 01011119283 95 33 88 33
바이오공학과 20160098 이민기 01095758494 99 76 66 34
IT미디어공학과 20150098 유재석 01099585758 77 23 45 63
IT미디어공학과 20140098 서현진 01022020033 95 33 34 55
IT미디어공학과 20151207 이다희 01099200392 75 46 77 64
바이오공학과 20161000 임수향 01099828222 65 33 55 64
컴퓨터학과 20160193 차은우 01099990928 66 36 45 99
바이오공학과 20180099 바세린 01088273987 51 10 61 32
바이오공학과 20180100 저금통 01011234522 98 97 88 75
바이오공학과 20180101 정전기 01023123453 77 14 33 50
컴퓨터학과 20181999 수세미 01029834473 99 72 69 68
바이오공학과 20180098 천일염 01009293929 76 13 53 33
